Beach Plum,bees/bumblebees/wasps/flies/butterflies/moths/beetles,clay/sandy/silty/peaty/chalky/loamy,Wet with occasional flooding,Prime seasonand has purple and blue berries,Prune in spring,Water often and trim,Water occasionally and trim,Shrub,2.5,2.5
Black Bugbane,butterflies/bees/birds,sandy,Wet areas,Leaves turn red,Clusters of flowers will appear,Protect from drought and water often,Water occasionally and trim,Shrub,2,2
Black Gum,birds,sandy,Medium mositure to wet soil,Brown twigs with red buds,Flowers may start to appear in late spring,Flowers appear followed by berry-like capsules,Leaves turn orange-red in fall,Tree,0.5,0.5
Bloodroot,bumblebees and flies,clay/loamy,Moist soil and medium water use,Twigs and fallen leaves protect the plant throughout the winter,Begin flowering in spring,Flowers begin to cluster being yellow green,Plant begins to lose flowers and lose leaves,Perennial,0.5,0.5
Blue Boneset,bumblebees,clay/loamy/sandy,Wet to moist soils,Still in season of interest in winter,Buds begin to return to rebloom,Begins to bloom in summer small white flowers appear,Continues to bloom into fall where the flowers resemble a turtle head,Perennial,0.25,0.25
Blue Cohosh,bees/hummingbirds,clay/loamy/sandy,Grows in wetlands with poorly drained soils,Capsules of seeds and fruit persist over winter,Add compost around plant to provide nutrition,Begins to bloom with violet-blue flowers,Wear gloves and trim after it's done flowering,Perennial,0.5,0.5
Blue Vervain,bees/butterflies/moths/hummingbirds,sandy,Dry soil,Will attract birds in the winter,Blooms in late spring,Blooms in May/June/July,If watered it will continue to flower into early October,Perennial,1.5,1.5
Blueflag Iris,box turtles,clay/loamy/sandy,Dry/medium soil,Planting in fall allows roots to establish prior to winter,Produces a yellow apple-like fruit,Dormant later in the summer,Plant in early fall,Perennial,0.3,0.3
Box Elder,bees/flies,clay/loamy/sandy,Medium/most/wet soil,Planting in fall allows roots to establish prior to winter,white flowers appear from the cetner of a single curled leaf,May go dormant by midsummer,Plant in early fall,Tree,24,24
Canada Wild Ginger,birds,clay/loamy/sandy,Medium/most soil,Fruits shed though winter,Leaves emerge in mid-April to late May,Large umbels of clustered white flowers,Early fall brings dark purple berry clusters,Perennial,0.5,0.5
Dangleberry,wind/bees/squirrels/chipmunks,loamy/sandy/silty,Moist well-drained soil,Branches are a deep-red in winter,Blooms early in spring with red and yellow flowers,Leaves are purple/red,Leaves are red in the fall,Shrub,3,3
Dwarf Azalea,bees/squirrels/chipmunks,clay/sandy/silty/peaty/chalky/loamy,Moist soil and medium water use,Durable against heavy snow and ice,Green on top and silvery underneath,Green on top and silvery underneath,Leaves are yellow in the fall,Tree,3.5,3.5
